 ,Area,Mean,Min,Max
754,30559,724.787,447,1892
755,130,545.846,464,647
756,92,553.185,470,644
757,7326,650.092,443,1437
758,907,605.089,463,832
759,2564,556.303,446,818
760,277,556.606,463,673
761,6,531.500,508,553
762,711,548.679,460,807
763,5007,1837.039,368,4095
764,336,536.188,450,700
765,596,529.230,451,659
766,137,528.810,457,605
767,380,557.405,434,772
768,270,538.133,448,675
769,99,562.162,477,685
770,16,569.750,473,726
771,451,705.701,455,1983
772,580,564.524,447,817
773,305,1024.472,400,2752
774,239,517.431,453,591
775,570,527.877,447,720
776,906,546.647,456,784
777,9,525.444,500,560
778,2309,570.502,415,898
779,202,524.569,463,628
780,2884,556.761,432,903
781,68,519.191,465,590
782,211,634.318,428,957
783,2944,603.505,445,1246
784,2765,561.637,438,834
785,2428,635.030,454,1190
786,2004,666.488,435,1203
787,53,552.434,466,633
788,2779,556.968,438,916
789,5,530.600,514,542
790,17,566.059,528,608
791,256,1085.750,368,2321
792,505,547.428,456,776
793,184,566.647,467,680
794,3386,1755.853,383,4095
795,69,526.000,458,588
796,543,546.847,445,753
797,361,576.934,451,743
798,14,515.786,495,543
799,281,522.206,452,825
800,1361,569.597,450,1002
801,227,547.815,446,753
802,109,547.761,457,646
803,8,509.000,472,546
804,1830,723.705,446,1465
805,1559,541.088,435,713
806,142,532.725,453,767
807,116,618.345,457,886
808,254,543.177,443,891
809,223,535.614,444,659
810,373,560.499,441,748
811,1771,631.822,452,1156
812,718,541.474,445,666
813,778,570.172,435,959
814,35,567.486,478,823
815,307,539.664,447,680
816,119,527.798,460,613
817,31,566.516,511,602
818,1167,666.991,447,1134
819,199,537.950,468,650
820,31,546.452,474,625
821,269,532.026,457,721
822,191,541.455,432,769
823,926,552.901,445,751
824,150,550.800,457,756
825,161,569.311,438,821
826,4685,739.046,284,1858
827,386,642.168,469,904
828,100,526.280,488,602
829,427,548.974,447,764
830,567,540.074,433,720
831,468,537.188,442,704
832,359,553.189,446,773
833,49,572.143,455,708
834,428,569.016,446,784
835,114,559.561,430,1192
836,121,574.397,447,796
837,179,526.883,448,599
838,1419,556.110,438,855
839,2800,585.236,422,1297
840,143,547.350,454,1075
841,86,531.628,443,615
842,6049,680.109,442,1439
843,120,538.975,473,631
844,307,553.912,461,730
845,660,548.226,444,762
846,82,514.634,444,577
847,86,507.907,461,571
848,116,528.638,464,617
849,224,547.951,451,876
850,78,517.231,469,593
851,281,547.356,445,741
852,611,555.899,448,774
853,1109,618.963,445,943
854,41,520.073,476,568
855,681,524.730,446,668
856,387,565.685,446,734
857,79,516.709,461,583
858,46,539.174,470,613
859,196,554.464,480,667
860,354,529.088,438,684
861,97,542.330,464,649
862,663,557.842,447,961
863,71,543.155,483,616
864,604,552.041,447,798
865,673,543.434,452,706
866,1137,546.741,443,740
867,371,571.914,446,777
868,121,532.240,454,734
869,106,540.000,458,629
870,613,562.181,464,803
871,174,533.586,457,697
872,20,527.000,500,554
873,318,549.544,430,712
874,50,525.620,485,567
875,3051,658.913,437,1473
876,177,527.271,451,597
877,193,527.565,461,653
878,35,525.000,477,563
879,6135,716.158,305,1825
880,77,568.792,502,681
881,289,570.298,450,834
882,241,561.062,442,1208
